VMs,TimeWindow,Model,Score,BestParams
planet2_cc_gt_atl_ga_us_root,15,GradientBoosting,0.001046717,"{'min_samples_split': 7, 'warm_start': False, 'loss': 'lad', 'max_leaf_nodes': 8, 'min_samples_leaf': 6, 'learning_rate': 0.1, 'presort': False, 'min_weight_fraction_leaf': 0, 'max_depth': 2, 'max_features': 'log2', 'n_estimators': 50}"
planet2_colbud_hu_root,4,GradientBoosting,0.015498026,"{'min_samples_split': 4, 'warm_start': True, 'loss': 'quantile', 'max_leaf_nodes': 4, 'min_samples_leaf': 4, 'learning_rate': 1, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': 2, 'max_features': 'auto', 'n_estimators': 200}"
planet2_cs_rochester_edu_irisaple_wup,1,DNN,0.000426388,57
planet2_cs_rochester_edu_uw_oneswarm,10,SVR,0.003757915,"{'coef0': 0, 'degree': 11, 'kernel': 'rbf', 'shrinking': True, 'C': 1, 'epsilon': 0}"
planet2_inf_tu-dresden_de_nyu_d,5,SVR,0.001075909,"{'coef0': 0, 'degree': 7, 'kernel': 'linear', 'shrinking': False, 'C': 1, 'epsilon': 0}"
planet2_inf_tu-dresden_de_princeton_codeen,15,GradientBoosting,0.004098545,"{'min_samples_split': 8, 'warm_start': False, 'loss': 'lad', 'max_leaf_nodes': 3, 'min_samples_leaf': 1, 'learning_rate': 0.1, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': None, 'max_features': 'auto', 'n_estimators': 50}"
planet2_inf_tu-dresden_de_root,15,SVR,0.002033842,"{'coef0': 0, 'degree': 3, 'kernel': 'rbf', 'shrinking': True, 'C': 1, 'epsilon': 0}"
planet2_inf_tu-dresden_de_uw_oneswarm,15,SVR,0.016768797,"{'coef0': 0, 'degree': 8, 'kernel': 'linear', 'shrinking': False, 'C': 1, 'epsilon': 0}"
planet2_pnl_nitech_ac_jp_uw_oneswarm,15,RandomForest,0.010073313,"{'bootstrap': True, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_depth': None, 'n_estimators': 50}"
planet2_prakinf_tu-ilmenau_de_nyu_d,15,GradientBoosting,0.000473729,"{'min_samples_split': 8, 'warm_start': True, 'loss': 'lad', 'max_leaf_nodes': 5, 'min_samples_leaf': 3, 'learning_rate': 0.3, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 10}"
planet2_prakinf_tu-ilmenau_de_princeton_codeen,10,DNN,0.005494101,52
planet2_prakinf_tu-ilmenau_de_root,15,GradientBoosting,0.004802802,"{'min_samples_split': 6, 'warm_start': True, 'loss': 'huber', 'max_leaf_nodes': 2, 'min_samples_leaf': 8, 'learning_rate': 0.05, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50}"
planet2_prakinf_tu-ilmenau_de_uw_oneswarm,10,RandomForest,0.004729224,"{'bootstrap': True, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_depth': 5, 'n_estimators': 50}"
planet2_scs_stanford_edu_howard_p2psip,10,AdaBooster,0.002371145,"{'learning_rate': 0.1, 'loss': 'square', 'n_estimators': 200}"
planet2_scs_stanford_edu_nyu_d,10,AdaBooster,0.000503335,"{'learning_rate': 0.1, 'loss': 'linear', 'n_estimators': 50}"
planet2_scs_stanford_edu_princeton_codeen,20,DNN,0.000656209,51
planet2_scs_stanford_edu_root,15,SVR,0.006005074,"{'coef0': 0, 'degree': 4, 'kernel': 'sigmoid', 'shrinking': False, 'C': 1, 'epsilon': 0}"
planet2_scs_stanford_edu_uw_oneswarm,15,DNN,0.002077472,21
planet2_scs_stanford_edu_uw_seattle,15,DNN,0.000312241,72
planet2_servers_ua_pt_irisaple_HEAP,3,LinearRegression,0.001445968,None
planet2_servers_ua_pt_irisaple_wup,10,GradientBoosting,0.001050048,"{'min_samples_split': 6, 'warm_start': True, 'loss': 'ls', 'max_leaf_nodes': 3, 'min_samples_leaf': 2, 'learning_rate': 0.01, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 20}"
planet2_servers_ua_pt_uw_oneswarm,15,SVR,0.003450242,"{'coef0': 0, 'degree': 7, 'kernel': 'sigmoid', 'shrinking': True, 'C': 1, 'epsilon': 0}"
planet3_cc_gt_atl_ga_us_nyu_d,15,RandomForest,0.000825899,"{'bootstrap': True, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_depth': 3, 'n_estimators': 20}"
planet3_cs_ucsb_edu_princeton_codeen,20,GradientBoosting,0.002221906,"{'min_samples_split': 3, 'warm_start': False, 'loss': 'huber', 'max_leaf_nodes': 2, 'min_samples_leaf': 8, 'learning_rate': 0.3, 'presort': False, 'min_weight_fraction_leaf': 0, 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 50}"
planet3_cs_ucsb_edu_root,5,RandomForest,0.012411713,"{'bootstrap': True, 'min_samples_split': 9, 'min_samples_leaf': 9, 'max_depth': 2, 'n_estimators': 200}"
planet3_cs_ucsb_edu_uw_oneswarm,15,LinearRegression,0.011871927,None
planet3_prakinf_tu-ilmenau_de_nyu_d,20,DNN,0.000320676,16
planet3_prakinf_tu-ilmenau_de_root,5,GradientBoosting,0.005112945,"{'min_samples_split': 9, 'warm_start': True, 'loss': 'huber', 'max_leaf_nodes': 3, 'min_samples_leaf': 10, 'learning_rate': 0.1, 'presort': False, 'min_weight_fraction_leaf': 0, 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 100}"
planet3_prakinf_tu-ilmenau_de_uw_oneswarm,20,SVR,0.002746124,"{'coef0': 0, 'degree': 4, 'kernel': 'rbf', 'shrinking': False, 'C': 1, 'epsilon': 0}"
planet4_cc_gt_atl_ga_us_nyu_d,1,GradientBoosting,0.00054546,"{'min_samples_split': 7, 'warm_start': False, 'loss': 'huber', 'max_leaf_nodes': 2, 'min_samples_leaf': 4, 'learning_rate': 0.05, 'presort': False, 'min_weight_fraction_leaf': 0, 'max_depth': None, 'max_features': 'log2', 'n_estimators': 50}"
planet4_cc_gt_atl_ga_us_root,20,GradientBoosting,0.000933769,"{'min_samples_split': 6, 'warm_start': True, 'loss': 'huber', 'max_leaf_nodes': 7, 'min_samples_leaf': 5, 'learning_rate': 0.1, 'presort': False, 'min_weight_fraction_leaf': 0, 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 50}"
planet4_cs_ucsb_edu_princeton_codeen,10,GradientBoosting,0.001869567,"{'min_samples_split': 6, 'warm_start': True, 'loss': 'lad', 'max_leaf_nodes': 3, 'min_samples_leaf': 10, 'learning_rate': 0.05, 'presort': False, 'min_weight_fraction_leaf': 0, 'max_depth': None, 'max_features': 'auto', 'n_estimators': 200}"
planet4_cs_ucsb_edu_root,3,GradientBoosting,0.000374605,"{'min_samples_split': 6, 'warm_start': True, 'loss': 'huber', 'max_leaf_nodes': 2, 'min_samples_leaf': 4, 'learning_rate': 0.05, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 20}"
planet4_cs_ucsb_edu_upmc_ts,20,AdaBooster,0.008354449,"{'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 10}"
planet4_cs_ucsb_edu_uw_oneswarm,20,DNN,0.003647544,64
planet5_cs_ucsb_edu_irisaple_HEAP,5,SVR,0.000668469,"{'coef0': 0, 'degree': 10, 'kernel': 'linear', 'shrinking': True, 'C': 1, 'epsilon': 0}"
planet5_cs_ucsb_edu_uw_oneswarm,20,RandomForest,0.018730356,"{'bootstrap': True, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_depth': 5, 'n_estimators': 200}"
planet6_cs_ucsb_edu_ rnp_dcc_ufjf,15,SVR,0.001320031,"{'coef0': 0, 'degree': 13, 'kernel': 'linear', 'shrinking': True, 'C': 1, 'epsilon': 0}"
planet6_cs_ucsb_edu_irisaple_HEAP,20,DNN,0.000399352,89
planet6_cs_ucsb_edu_irisaple_wup,15,SVR,0.000447475,"{'coef0': 0, 'degree': 7, 'kernel': 'sigmoid', 'shrinking': True, 'C': 1, 'epsilon': 0}"
planet6_cs_ucsb_edu_root,1,GradientBoosting,0.003627965,"{'min_samples_split': 2, 'warm_start': True, 'loss': 'ls', 'max_leaf_nodes': 5, 'min_samples_leaf': 7, 'learning_rate': 0.01, 'presort': False, 'min_weight_fraction_leaf': 0, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 50}"
planet6_cs_ucsb_edu_uw_oneswarm,10,SVR,0.007747613,"{'coef0': 0, 'degree': 15, 'kernel': 'sigmoid', 'shrinking': True, 'C': 1, 'epsilon': 0}"
planetdev02_fm_intel_com_root,20,DNN,0.004448411,76
planetdev02_fm_intel_com_uw_oneswarm,20,SVR,0.00472017,"{'coef0': 0, 'degree': 16, 'kernel': 'linear', 'shrinking': True, 'C': 1, 'epsilon': 0}"
